UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1001,Bagalkot Police Station 01,1,,1,1,1,1
1002,Bagalkot Police Station 02,1,,1,1,1,1
1003,Bagalkot Police Station 03,1,,1,1,1,1
1004,Bagalkot Police Station 04,1,,1,1,1,1
1005,Bagalkot Police Station 05,1,,1,1,1,1
1006,Bagalkot Police Station 06,1,,1,1,1,1
1007,Bagalkot Police Station 07,1,,1,1,1,1
1008,Bagalkot Police Station 08,1,,1,1,1,1
1009,Bagalkot Police Station 09,1,,1,1,1,1
1010,Bagalkot Police Station 10,1,,1,1,1,1
1011,Ballari Police Station 01,1,,1,1,2,1
1012,Ballari Police Station 02,1,,1,1,2,1
1013,Ballari Police Station 03,1,,1,1,2,1
1014,Ballari Police Station 04,1,,1,1,2,1
1015,Ballari Police Station 05,1,,1,1,2,1
1016,Ballari Police Station 06,1,,1,1,2,1
1017,Ballari Police Station 07,1,,1,1,2,1
1018,Ballari Police Station 08,1,,1,1,2,1
1019,Ballari Police Station 09,1,,1,1,2,1
1020,Ballari Police Station 10,1,,1,1,2,1
1021,Belagavi Police Station 01,1,,1,1,3,1
1022,Belagavi Police Station 02,1,,1,1,3,1
1023,Belagavi Police Station 03,1,,1,1,3,1
1024,Belagavi Police Station 04,1,,1,1,3,1
1025,Belagavi Police Station 05,1,,1,1,3,1
1026,Belagavi Police Station 06,1,,1,1,3,1
1027,Belagavi Police Station 07,1,,1,1,3,1
1028,Belagavi Police Station 08,1,,1,1,3,1
1029,Belagavi Police Station 09,1,,1,1,3,1
1030,Belagavi Police Station 10,1,,1,1,3,1
1031,Bengaluru Rural Police Station 01,1,,1,1,4,1
1032,Bengaluru Rural Police Station 02,1,,1,1,4,1
1033,Bengaluru Rural Police Station 03,1,,1,1,4,1
1034,Bengaluru Rural Police Station 04,1,,1,1,4,1
1035,Bengaluru Rural Police Station 05,1,,1,1,4,1
1036,Bengaluru Rural Police Station 06,1,,1,1,4,1
1037,Bengaluru Rural Police Station 07,1,,1,1,4,1
1038,Bengaluru Rural Police Station 08,1,,1,1,4,1
1039,Bengaluru Rural Police Station 09,1,,1,1,4,1
1040,Bengaluru Rural Police Station 10,1,,1,1,4,1
1041,Bengaluru Urban Police Station 01,1,,1,1,5,1
1042,Bengaluru Urban Police Station 02,1,,1,1,5,1
1043,Bengaluru Urban Police Station 03,1,,1,1,5,1
1044,Bengaluru Urban Police Station 04,1,,1,1,5,1
1045,Bengaluru Urban Police Station 05,1,,1,1,5,1
1046,Bengaluru Urban Police Station 06,1,,1,1,5,1
1047,Bengaluru Urban Police Station 07,1,,1,1,5,1
1048,Bengaluru Urban Police Station 08,1,,1,1,5,1
1049,Bengaluru Urban Police Station 09,1,,1,1,5,1
1050,Bengaluru Urban Police Station 10,1,,1,1,5,1
1051,Bidar Police Station 01,1,,1,1,6,1
1052,Bidar Police Station 02,1,,1,1,6,1
1053,Bidar Police Station 03,1,,1,1,6,1
1054,Bidar Police Station 04,1,,1,1,6,1
1055,Bidar Police Station 05,1,,1,1,6,1
1056,Bidar Police Station 06,1,,1,1,6,1
1057,Bidar Police Station 07,1,,1,1,6,1
1058,Bidar Police Station 08,1,,1,1,6,1
1059,Bidar Police Station 09,1,,1,1,6,1
1060,Bidar Police Station 10,1,,1,1,6,1
1061,Chamarajanagar Police Station 01,1,,1,1,7,1
1062,Chamarajanagar Police Station 02,1,,1,1,7,1
1063,Chamarajanagar Police Station 03,1,,1,1,7,1
1064,Chamarajanagar Police Station 04,1,,1,1,7,1
1065,Chamarajanagar Police Station 05,1,,1,1,7,1
1066,Chamarajanagar Police Station 06,1,,1,1,7,1
1067,Chamarajanagar Police Station 07,1,,1,1,7,1
1068,Chamarajanagar Police Station 08,1,,1,1,7,1
1069,Chamarajanagar Police Station 09,1,,1,1,7,1
1070,Chamarajanagar Police Station 10,1,,1,1,7,1
1071,Chikkaballapur Police Station 01,1,,1,1,8,1
1072,Chikkaballapur Police Station 02,1,,1,1,8,1
1073,Chikkaballapur Police Station 03,1,,1,1,8,1
1074,Chikkaballapur Police Station 04,1,,1,1,8,1
1075,Chikkaballapur Police Station 05,1,,1,1,8,1
1076,Chikkaballapur Police Station 06,1,,1,1,8,1
1077,Chikkaballapur Police Station 07,1,,1,1,8,1
1078,Chikkaballapur Police Station 08,1,,1,1,8,1
1079,Chikkaballapur Police Station 09,1,,1,1,8,1
1080,Chikkaballapur Police Station 10,1,,1,1,8,1
